	condition	predicate	response	slide_number	language	enjoyment	age	gender	education	comments	Browser	OS	screenH	screenW	time_in_minutes	participant_id	negated	valence	asses	adjective
8	positive	polite	0.4	11	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	false	positive	Yes	polite
9	positive	long	0.52	12	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	false	positive	Yes	long
10	positive	strong	0.51	13	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	false	positive	Yes	strong
11	NPositive	not possible	0.35	14	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	true	positive	Yes	possible
12	positive	accurate	0.58	15	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	false	positive	Yes	accurate
13	NNegative	not short	0.5	16	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	true	negative	Yes	short
14	NNegative	not unfriendly	0.5	17	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	true	negative	Yes	unfriendly
15	NNegative	not frustrating	0.49	18	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	true	negative	Yes	frustrating
16	positive	good	0.68	19	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	false	positive	Yes	good
17	NNegative	not mean	0.71	20	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	true	negative	Yes	mean
18	NNegative	not poor	0.25	21	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	true	negative	Yes	poor
19	NNegative	not useless	0.33	22	English	1	48	Female	4		Chrome	Windows	1920	1080	197.835	12	true	negative	Yes	useless
0	NPositive	not interesting	0.79	3	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	true	positive	Yes	interesting
1	NPositive	not happy	1.0	4	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	true	positive	Yes	happy
2	NPositive	not satisfactory	0.23	5	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	true	positive	Yes	satisfactory
3	NNegative	not mean	0.2	6	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	true	negative	Yes	mean
4	positive	good	1.0	7	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	false	positive	Yes	good
5	negative	unfair	0.94	8	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	false	negative	Yes	unfair
6	negative	unlucky	0.91	9	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	false	negative	Yes	unlucky
7	negative	poor	1.0	10	ENGLISH	1		Male	3		Chrome	Windows	768	1366	74.864	13	false	negative	Yes	poor
